"Freq [GHz]","dB(St(Feed_T1,Feed_T1)) []"
19,-11.8989293720117
19.1,-13.2658918738487
19.2,-14.8041798569071
19.3,-16.5502299034427
19.4,-18.5513167393233
19.5,-20.8579091939416
19.6,-23.4686727333067
19.7,-26.0793130962341
19.8,-27.5416897412296
19.9,-26.8501372012182
20,-25.0933218099193
20.1,-23.3681998661052
20.2,-21.948272987576
20.3,-20.8276019433263
20.4,-19.9544454618986
20.5,-19.2814225296738
20.6,-18.772206724054
20.7,-18.3999902605948
20.8,-18.1450662183209
20.9,-17.9928450783542
21,-17.9323648169276
21.1,-17.9551672730134
21.2,-18.0544008356083
21.3,-18.2240205539308
21.4,-18.4579251930017
21.5,-18.7488967683181
21.6,-19.0871397015461
21.7,-19.4582959536789
21.8,-19.8409069184107
21.9,-20.2037092065985
22,-20.5041657687517
22.1,-20.6907894848945
22.2,-20.7121566187059
22.3,-20.531981286386
22.4,-20.1428551834529
22.5,-19.5685834447106
22.6,-18.8532652715518
22.7,-18.0457024879534
22.8,-17.1884141776641
22.9,-16.3138463343805
23,-15.4453819566971
23.1,-14.5999949496
23.2,-13.7905232605043
23.3,-13.026832252053
23.4,-12.3159983029691
23.5,-11.6621123909916
